City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
104,Avarua,CK,-21.2078,-159.775,69.85,83,40,4.61,scattered clouds
105,Arlit,NE,18.7369,7.3853,103.55,8,4,4.94,clear sky
106,Tiksi,RU,71.6872,128.8694,3.11,100,72,2.95,broken clouds
107,Broome,US,42.2506,-75.833,73.54,76,100,10.36,overcast clouds
108,Leh,IN,34.1667,77.5833,53.47,25,79,8.41,broken clouds
109,Saint-Philippe,RE,-21.3585,55.7679,74.79,73,39,9.06,scattered clouds
110,Iquique,CL,-20.2208,-70.1431,62.64,61,6,6.26,clear sky
111,Deputatskiy,RU,69.3,139.9,9.16,99,100,2.84,overcast clouds
112,Vialonga,PT,38.8709,-9.0682,72.21,73,75,18.41,broken clouds
113,Mercedes,AR,-34.6515,-59.4307,56.86,35,1,14.23,clear sky
114,Saint Anthony,US,45.0205,-93.218,67.84,49,0,9.22,clear sky
115,Qeshm,IR,26.9581,56.2719,98.47,46,0,13.4,clear sky
116,Wichita,US,37.6922,-97.3375,72.55,79,40,13.8,scattered clouds
117,Vallenar,CL,-28.5708,-70.7581,71.73,31,0,3.33,clear sky
118,Taunggyi,MM,20.7833,97.0333,70.43,70,92,3.22,overcast clouds
119,Bengkulu,ID,-3.8004,102.2655,78.49,90,100,3.2,overcast clouds
120,Kavieng,PG,-2.5744,150.7967,81.21,73,100,6.13,overcast clouds
121,Baykit,RU,61.67,96.37,55.36,53,4,2.86,clear sky
122,Lompoc,US,34.6391,-120.4579,58.6,96,75,3.44,broken clouds
123,Pacific Grove,US,36.6177,-121.9166,55.42,95,100,10.0,mist
124,Enid,US,36.3956,-97.8784,80.31,68,0,12.66,clear sky
125,Norman Wells,CA,65.282,-126.8329,32.04,93,100,4.61,overcast clouds
126,Chernyshevskiy,RU,63.0128,112.4714,36.95,97,100,6.55,overcast clouds
127,Xining,CN,36.6167,101.7667,38.7,79,100,3.83,overcast clouds
128,Aykhal,RU,66.0,111.5,36.21,92,100,4.21,overcast clouds
129,Lilienthal,DE,53.1657,8.9293,72.48,38,0,3.44,clear sky
130,Kahului,US,20.8947,-156.47,74.84,80,76,13.0,broken clouds
131,Ancud,CL,-41.8697,-73.8203,50.59,71,54,9.75,broken clouds
132,Aljezur,PT,37.3191,-8.8033,69.85,64,65,12.08,broken clouds
133,Guerrero Negro,MX,27.9769,-114.0611,65.89,68,21,10.6,few clouds
134,Uray,RU,60.1247,64.7758,57.96,57,91,10.22,overcast clouds
135,Severo-Kurilsk,RU,50.6789,156.125,36.93,97,100,16.96,moderate rain
136,La Rochelle,FR,46.1667,-1.15,78.87,47,0,14.97,clear sky
137,Beringovskiy,RU,63.05,179.3167,36.7,76,95,8.28,overcast clouds
138,Aswan,EG,24.0934,32.907,103.5,12,10,17.36,clear sky
139,Dhrangadhra,IN,22.9833,71.4667,91.45,31,0,19.37,clear sky
140,East London,ZA,-33.0153,27.9116,66.52,78,2,12.57,clear sky
141,Te Anau,NZ,-45.4167,167.7167,44.08,90,9,0.89,clear sky
142,Srandakan,ID,-7.9386,110.2506,80.37,82,74,0.54,broken clouds
143,Udachnyy,RU,66.4167,112.4,36.0,94,100,4.59,overcast clouds
144,Divnomorskoye,RU,44.5011,38.1353,62.96,69,7,5.66,clear sky
145,Nicoya,CR,10.1483,-85.452,85.87,61,64,3.71,broken clouds
146,Shenjiamen,CN,29.9576,122.298,61.38,66,100,4.23,overcast clouds
147,Beyneu,KZ,45.3167,55.2,78.4,25,0,8.23,clear sky
148,Nata,PA,8.3333,-80.5167,84.07,70,33,1.03,scattered clouds
