City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
178,Napanee,CA,75.58,broken clouds,44.2501,-76.9494,Fox Motor Inn
181,Carnarvon,AU,70.34,clear sky,-24.8667,113.6333,Hospitality Carnarvon
183,Atyrau,KZ,69.82,clear sky,47.1167,51.8833,River Palace Hotel
187,Butembo,CD,62.38,light rain,0.15,29.2833,Hotel Butembo
188,Port Elizabeth,ZA,70.11,clear sky,-33.918,25.5701,39 On Nile Guest House
191,Nha Trang,VN,80.6,overcast clouds,12.25,109.1833,Hanoi Golden Hotel
194,Nove Mesto Na Morave,CZ,72.82,clear sky,49.5614,16.0742,Hotel Horní Dvůr
198,Mahebourg,MU,73.26,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
199,Peniche,PT,74.08,broken clouds,39.3558,-9.3811,Hotel Star inn Peniche
200,Rafaela,AR,62.01,overcast clouds,-31.2503,-61.4867,Parra Hotel & Suites
201,Wundanyi,KE,69.94,overcast clouds,-3.4019,38.364,Taita Rocks Hotel
202,Airai,TL,61.07,overcast clouds,-8.9266,125.4092,
203,Caravelas,BR,80.22,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
207,Warwick,US,74.88,broken clouds,41.7001,-71.4162,Hampton Inn & Suites Providence/Warwick-Airport
208,Gizo,SB,82.09,light rain,-8.103,156.8419,Imagination Island
215,Kalmunai,LK,83.44,overcast clouds,7.4167,81.8167,VS Villa
216,Alice Springs,AU,62.15,broken clouds,-23.7,133.8833,Desert Palms Alice Springs
217,Pisco,PE,62.65,mist,-13.7,-76.2167,Hotel San Isidro Oficial
218,Columbia,US,82.47,clear sky,34.0007,-81.0348,Hampton Inn Columbia-Downtown Historic District
219,Mitsamiouli,KM,81.09,light rain,-11.3847,43.2844,Foyer ADM
220,Grafton,US,74.03,overcast clouds,42.207,-71.6856,The Grafton Inn
221,Escuinapa,MX,81.23,broken clouds,22.85,-105.8,""" Hotel IQ "" de Escuinapa"
223,Vila Franca Do Campo,PT,64.81,light rain,37.7167,-25.4333,Pestana Bahia Praia
225,Komsomolskiy,UZ,72.21,overcast clouds,40.4272,71.7189,Ikathouse
226,Saldanha,ZA,63.3,clear sky,-33.0117,17.9442,Blue Bay Lodge
228,Malinyi,TZ,76.37,few clouds,-8.9333,36.1333,
231,Cape Town,ZA,71.35,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
232,Mascote,BR,74.68,overcast clouds,-15.5631,-39.3025,Fazenda Novo ORIENTE
233,Barcelos,PT,69.85,overcast clouds,41.5388,-8.6151,Hotel Restaurante Bagoeira
237,Halmstad,SE,60.31,scattered clouds,56.6745,12.8568,BEST WESTERN PLUS Grand Hotel
241,Conde,BR,81.86,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
245,Yinchuan,CN,62.19,clear sky,38.4681,106.2731,JJ Inns - Yinchuan New Moon Square Branch
247,Sigli,ID,80.92,overcast clouds,5.3848,95.9609,Losmen Dua Mali
248,Bowen,AU,72.77,broken clouds,-20.0167,148.2333,Castle Motor Lodge Motel
249,Labuhan,ID,81.27,broken clouds,-6.8844,112.2051,DoubleFAG
251,Springbok,ZA,72.66,clear sky,-29.6643,17.8865,Undulata Country Lodge
252,Trebukhiv,UA,63.86,broken clouds,50.4843,30.903,Pryma
253,Korla,CN,76.84,overcast clouds,41.7597,86.1469,Gulisitan Hotel
254,Mitchell,US,62.58,overcast clouds,43.7094,-98.0298,Kelly Inn & Suites
256,Prabumulih,ID,77.63,overcast clouds,-3.45,104.25,OYO 2722 Lemon Residence Prabumulih
258,Barra Patuca,HN,83.14,scattered clouds,15.8,-84.2833,
261,Fredericksburg,US,79.61,broken clouds,38.3032,-77.4605,Courtyard by Marriott Fredericksburg Historic District
263,Ulladulla,AU,61.21,clear sky,-35.35,150.4667,Sandpiper Motel
264,Koppies,ZA,68.11,scattered clouds,-27.2418,27.5742,Friesland Hotel
265,Maputo,MZ,75.22,scattered clouds,-25.9653,32.5892,Pestana Rovuma
266,Katsuura,JP,64.06,heavy intensity rain,35.1333,140.3,Katsuura Hotel Mikazuki
268,Kuryk,KZ,72.1,clear sky,43.2,51.65,Gostinitsa Kuryk - Otel' Dlya Vsekh Kategoriy Kliyentov .
270,Charters Towers,AU,68.29,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
274,Popondetta,PG,72.86,scattered clouds,-8.7537,148.2534,Timos Transit House
275,Ternate,ID,80.42,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
276,Namibe,AO,77.7,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
278,Sabara,BR,74.37,few clouds,-19.8864,-43.8067,Depto Rede Vencer
284,Manzanillo,CU,83.77,overcast clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
285,Ajdabiya,LY,75.9,clear sky,30.7554,20.2263,Almadina Hotel
288,Diego De Almagro,CL,72.43,clear sky,-26.3667,-70.05,hotel luna del desierto
290,Tautira,PF,80.02,light rain,-17.7333,-149.15,Pension Oaoa
291,Port Hedland,AU,77.05,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
293,Kruisfontein,ZA,67.89,clear sky,-34.0033,24.7314,Oyster Bay House Rental
294,Port Hueneme,US,82.53,mist,34.1478,-119.1951,Hampton Inn Channel Islands Harbor
295,Alugan,PH,80.13,overcast clouds,12.2188,125.4808,JM Lodge
297,Faanui,PF,80.46,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
298,Lauenburg,DE,70.57,clear sky,53.372,10.5565,Hotel Bellevue
299,Quatre Cocos,MU,73.09,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
302,Sao Felix Do Xingu,BR,81.39,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
305,Fukue,JP,61.97,overcast clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
308,Terre-De-Bas,GP,80.11,few clouds,15.8501,-61.6442,Hôtel Bois Joli
311,Veraval,IN,84.42,clear sky,20.9,70.3667,Lords Inn Somnath
312,Vila Velha,BR,78.75,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
314,Nador,MA,73.65,few clouds,35.174,-2.9287,Hôtel La Giralda
315,Beloha,MG,70.38,clear sky,-25.1667,45.05,
319,Yarmouth,US,72.97,haze,41.7057,-70.2286,Blue Rock Resort
320,Lakes Entrance,AU,62.17,clear sky,-37.8811,147.981,The Esplanade Resort & Spa
322,Basco,PH,81.3,broken clouds,20.4487,121.9702,Nathaniel's Lodge
326,Kazachinskoye,RU,62.42,scattered clouds,57.6953,93.2761,"Tayga, Gostinitsa"
328,Lorengau,PG,80.22,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
